id;sequence
161937;1,2,15,116,1165,13974,195643,3130280,56345049,1126900970,24791821351,595003712412,15470096522725,433162702636286,12994881079088595,415836194530835024,14138430614048390833,508983502105742069970,19341373080018198658879,773654923200727946355140
092440;1,5,25,113,481,1985,8065,32513,130561,523265,2095105,8384513,33546241,134201345,536838145,2147418113,8589803521,34359476225,137438429185,549754765313,2199021158401,8796088827905,35184363700225
095340;1,4,24,256,5120,196608,14680064,2147483648,618475290624,351843720888320,396316767208603648,885443715538058477568,3929008913747544817795072,34662321099990647697175478272,608472288109550112718417538580480,21267647932558653966460912964485513216
202991;1,1,49,15625,38950081,812990017201,147640825624179889,237771659632917369765625,3425319186561140076700951192321,443021141828981570872668681812345111521,515202988063835984513918825523304657054713360049
000312;1,1,4,27,256,3125,46656,823543,16777216,387420489,10000000000,285311670611,8916100448256,302875106592253,11112006825558016,437893890380859375,18446744073709551616,827240261886336764177,39346408075296537575424,1978419655660313589123979
048291;1,1,7,265,41503,24997921,57366997447,505874809287625,17343602252913832063,2334958727565749108488321,1243237913592275536716800402887,2630119877024657776969635243647463625,22170632855360952977731028744522744983195423
086206;0,1,27,2401,759375,887503681,3938980639167,67675234241018881,4558916353692287109375,1213972926354344043087129601,1284197945649659948122178573052927,5412701932445852698371002894178179850241,91054366938067173656011584805755385081787109375
109966;1,1,8,512,262144,1073741824,35184372088832,9223372036854775808,19342813113834066795298816,324518553658426726783156020576256,43556142965880123323311949751266331066368,46768052394588893382517914646921056628989841375232,401734511064747568885490523085290650630550748445698208825344
086325;0,2,6,36,220,1590,12978,118664,1201464,13349610,161530270,2114578092,29780308116,448995414686,7215997736010,123153028027920,2224451568754288,42395429898611154,850263899633257014,17900292623858042420,394701452356069835340,9096928711444657157382,218739785834282892557026
000244;1,3,9,27,81,243,729,2187,6561,19683,59049,177147,531441,1594323,4782969,14348907,43046721,129140163,387420489,1162261467,3486784401,10460353203,31381059609,94143178827,282429536481,847288609443,2541865828329,7625597484987
093069;7,23,79,287,1087,4223,16639,66047,263167,1050623,4198399,16785407,67125247,268468223,1073807359,4295098367,17180131327,68720001023,274878955519,1099513724927,4398050705407,17592194433023,70368760954879,281475010265087,1125899973951487
085527;1,3,25,343,6561,161051,4826809,170859375,6975757441,322687697779,16679880978201,952809757913927,59604644775390625,4052555153018976267,297558232675799463481,23465261991844685929951,1977985201462558877934081,177482997121587371826171875
000522;1,2,5,16,65,326,1957,13700,109601,986410,9864101,108505112,1302061345,16926797486,236975164805,3554627472076,56874039553217,966858672404690,17403456103284421,330665665962404000,6613313319248080001,138879579704209680022,3055350753492612960485,70273067330330098091156
165327;1,2,9,125,6561,1419857,1291467969,4902227890625,76686282021340161,4891005035897482905857,1262332172765951010966606849,1312086657801266767978668212890625
000266;1,1,1,3,15,75,435,3045,24465,220185,2200905,24209955,290529855,3776888115,52876298475,793144477125,12690313661025,215735332237425,3883235945814225,73781482970470275,1475629660064134575,30988222861346826075,681740902935880863075
006125;1,1,2,8,64,1024,32768,2097152,268435456,68719476736,35184372088832,36028797018963968,73786976294838206464,302231454903657293676544,2475880078570760549798248448,40564819207303340847894502572032,1329227995784915872903807060280344576
135756;1,2,7,80,4381,1069742,1080096067,4405584869660,72092808533798521,4723015159635987920282,1237987266193328694390243007,1298087832233881093828346620725800
000240;1,0,3,8,45,264,1855,14832,133497,1334960,14684571,176214840,2290792933,32071101048,481066515735,7697064251744,130850092279665,2355301661033952,44750731559645107,895014631192902120,18795307255050944541,413496759611120779880
267816;1,3,23,111,479,1983,8063,32511,130559,523263,2095103,8384511,33546239,134201343,536838143,2147418111,8589803519,34359476223,137438429183,549754765311,2199021158399,8796088827903,35184363700223,140737471578111,562949919866879
