algorithm,sequence,domain.size,count,compilation.time,inference.time
greedy,a135748,1,3,1102,5
greedy,a135748,2,21,1102,3
greedy,a135748,3,567,1102,3
greedy,a135748,4,67689,1102,2
greedy,a135748,5,33887403,1102,4
greedy,a135748,6,68921796861,1102,3
greedy,a135748,7,563431696713567,1102,3
greedy,a135748,8,18451249599365935569,1102,3
greedy,a135748,9,2418017680197896730749523,1102,4
greedy,a135748,10,1267674779574792745831097365221,1102,3
greedy,a135756,1,2,1391,5
greedy,a135756,2,7,1391,5
greedy,a135756,3,80,1391,4
greedy,a135756,4,4381,1391,3
greedy,a135756,5,1069742,1391,2
greedy,a135756,6,1080096067,1391,3
greedy,a135756,7,4405584869660,1391,3
greedy,a135756,8,72092808533798521,1391,3
greedy,a135756,9,4723015159635987920282,1391,3
greedy,a135756,10,1237987266193328694390243007,1391,3
bfs,a5367,1,4,1759,5
bfs,a5367,2,18,1759,3
bfs,a5367,3,70,1759,3
bfs,a5367,4,270,1759,3
bfs,a5367,5,1054,1759,3
bfs,a5367,6,4158,1759,3
bfs,a5367,7,16510,1759,3
bfs,a5367,8,65790,1759,3
bfs,a5367,9,262654,1759,3
bfs,a5367,10,1049598,1759,3
greedy,a155611,1,4,1282,4
greedy,a155611,2,28,1282,2
greedy,a155611,3,190,1282,2
greedy,a155611,4,1216,1282,3
greedy,a155611,5,7534,1282,4
greedy,a155611,6,45928,1282,3
greedy,a155611,7,277750,1282,3
greedy,a155611,8,1673056,1282,3
greedy,a155611,9,10058014,1282,3
greedy,a155611,10,60407128,1282,3
greedy,a27,1,1,952,4
greedy,a27,2,2,952,2
greedy,a27,3,3,952,2
greedy,a27,4,4,952,2
greedy,a27,5,5,952,2
greedy,a27,6,6,952,2
greedy,a27,7,7,952,2
greedy,a27,8,8,952,2
greedy,a27,9,9,952,2
greedy,a27,10,10,952,2
greedy,a55601,1,1,1061,5
greedy,a55601,2,9,1061,4
greedy,a55601,3,343,1061,4
greedy,a55601,4,50625,1061,4
greedy,a55601,5,28629151,1061,4
greedy,a55601,6,62523502209,1061,4
greedy,a55601,7,532875860165503,1061,4
greedy,a55601,8,17878103347812890625,1061,4
greedy,a55601,9,2375680873491867011912191,1061,5
greedy,a55601,10,1255325460068093790930770843649,1061,4
greedy,a88668,1,6,1523,5
greedy,a88668,2,112,1523,3
greedy,a88668,3,7680,1523,3
greedy,a88668,4,2031616,1523,3
greedy,a88668,5,2113929216,1523,3
greedy,a88668,6,8727373545472,1523,4
greedy,a88668,7,143552238122434560,1523,10
greedy,a88668,8,9426286221665580875776,1523,8
greedy,a88668,9,2473462226931531291448836096,1523,5
greedy,a88668,10,2594880778667185584863751461404672,1523,4
